date,closed,open,high,low,volume
2022/1/4,3806.5,3824.18,3827,3783.15,40460000000
2022/1/5,3767.52,3802.23,3802.23,3755.22,42350000000
2022/1/6,3757.99,3752.88,3766.86,3730.49,37120000000
2022/1/7,3751.34,3761.04,3780.28,3748.77,43610000000
2022/1/10,3766.03,3744.22,3766.03,3725.8,35600000000
2022/1/11,3738.63,3762.26,3774.99,3733.68,35950000000
2022/1/12,3770.09,3749.86,3772.31,3743.48,34290000000
2022/1/13,3725.74,3773.87,3773.95,3725.64,36910000000
2022/1/14,3689.96,3713.99,3718.53,3687.93,37670000000
2022/1/17,3711.46,3690.83,3716.06,3688.02,31260000000
2022/1/18,3741.12,3711.69,3751.04,3700.64,37700000000
2022/1/19,3728.82,3738.75,3750.42,3711.47,33300000000
2022/1/20,3725.56,3726.71,3747.8,3710.35,37930000000
2022/1/21,3691.48,3716.82,3717.08,3683.43,32630000000
2022/1/24,3693.1,3676.45,3701.05,3668.16,28000000000
2022/1/25,3597.65,3677.58,3688.67,3597.65,32690000000
2022/1/26,3621.42,3607.8,3628.13,3581.65,27490000000
2022/1/27,3556.99,3621.86,3622.14,3554.64,28040000000
2022/1/28,3522.48,3570.99,3580.92,3517.42,29050000000
2022/2/7,3594.01,3571.14,3598.72,3571.14,32020000000
2022/2/8,3618.24,3592.91,3618.84,3552.99,36580000000
2022/2/9,3646.85,3616.33,3651.9,3609.22,35000000000
2022/2/10,3653.11,3648.92,3656.2,3630.35,35540000000
2022/2/11,3629.05,3638.78,3668.15,3625.25,36110000000
2022/2/14,3593.4,3617.42,3623.13,3579.32,31500000000
2022/2/15,3611.52,3592.53,3612.99,3585.81,27530000000
2022/2/16,3632.26,3623.07,3641.91,3619.62,27480000000
2022/2/17,3634.64,3630.57,3648.25,3620.16,29700000000
2022/2/18,3658.5,3617.44,3658.5,3612.61,29480000000
2022/2/21,3658.35,3656.06,3660.03,3638.49,30120000000
2022/2/22,3623.2,3640.17,3640.28,3602.81,32590000000
2022/2/23,3656.72,3624.64,3658.42,3624.3,32530000000
2022/2/24,3594.62,3641.22,3654.42,3563.44,48790000000
2022/2/25,3617.17,3610.78,3647.25,3606.14,37710000000
2022/2/28,3628.66,3616.02,3628.66,3590.05,34540000000
2022/3/1,3656.55,3638.14,3658.96,3632.27,32560000000
2022/3/2,3651.71,3645.49,3654.27,3633.68,32900000000
2022/3/3,3648.53,3664.04,3668.61,3640.32,41230000000
2022/3/4,3613.44,3626.37,3642.01,3602.98,39320000000
2022/3/7,3534.89,3603.91,3603.91,3522.21,39320000000
2022/3/8,3451.81,3534.65,3546.28,3445.26,41550000000
2022/3/9,3412.88,3462.48,3481.13,3298.72,46580000000
2022/3/10,3454.57,3471.4,3486.57,3449.42,37800000000
2022/3/11,3469.03,3415.98,3475.26,3372.12,38380000000
2022/3/14,3378.68,3429.31,3456.54,3378.68,33770000000
2022/3/15,3211.42,3345.95,3350.89,3211.42,46440000000
2022/3/16,3323.35,3257.28,3330.77,3168.68,44420000000
2022/3/17,3369.75,3369.82,3417.13,3357.09,42040000000
2022/3/18,3407.57,3361.48,3417.75,3351.19,37270000000
2022/3/21,3410.16,3412.3,3424.73,3378.35,35390000000
2022/3/22,3416.64,3405.82,3436.91,3395.34,36090000000
2022/3/23,3428.37,3421.82,3437.67,3408.38,34960000000
2022/3/24,3406.56,3412.7,3424.03,3392.28,32880000000
2022/3/25,3366.68,3403.3,3413.76,3366.04,33970000000
2022/3/28,3369.07,3338.27,3385.55,3311.7,34470000000
2022/3/29,3357.02,3370.68,3384.44,3350.09,312370
2022/3/30,3423.74,3372.26,3423.74,3370.9,36630000000
2022/3/31,3409.1,3412.75,3429.45,3402.18,393220
2022/4/1,3440.64,3390.19,3445.39,3381.4,37790000000
2022/4/6,3441.33,3426.7,3446.31,3412.27,42920000000
2022/4/7,3392.36,3424.95,3448.51,3392.13,40220000000
2022/4/8,3408.23,3395.69,3413.79,3362.65,41340000000
2022/4/11,3319.34,3395.64,3395.64,3308.19,42370000000
2022/4/12,3367.82,3317.22,3369.03,3291.75,41780000000
2022/4/13,3339.98,3353.55,3380.58,3336.55,39060000000
2022/4/14,3380.73,3357.64,3395.81,3354.14,37070000000
2022/4/15,3365.69,3365.03,3385.23,3354.09,40720000000
2022/4/18,3349.13,3339.12,3358.08,3319.24,34700000000
2022/4/19,3347.55,3345.53,3362.06,3327.29,33960000000
2022/4/20,3302.51,3343.21,3345.26,3293.06,36160000000
2022/4/21,3227.82,3289.28,3312.87,3217.18,39160000000
2022/4/22,3235.27,3205.35,3254.92,3195.88,34170000000
2022/4/25,3069.17,3179.98,3190.09,3069.16,43310000000
2022/4/26,3025.03,3071.16,3099.74,3016.48,40130000000
2022/4/27,3100.34,3004.42,3101.28,3001.1,42270000000
2022/4/28,3118.4,3087.22,3135.21,3077.86,37500000000
2022/4/29,3193.33,3129.51,3194.88,3110.79,42340000000
2022/5/5,3215.1,3191.08,3230.26,3188.2,38260000000
2022/5/6,3145.63,3155.91,3176.24,3136.4,34290000000
2022/5/9,3148.41,3133.71,3160.75,3126.81,29180000000
2022/5/10,3181.72,3108.14,3190.07,3099.4,37030000000
2022/5/11,3205.63,3181.23,3249.97,3180.48,42360000000
2022/5/12,3201.84,3191.07,3219.81,3178.7,34410000000
2022/5/13,3232.58,3215.51,3234.47,3206.3,33140000000
2022/5/16,3221.49,3249.61,3251.74,3210.59,33780000000
2022/5/17,3242.3,3224.39,3242.3,3204.57,32980000000
2022/5/18,3233.8,3244.61,3254.68,3218.67,31460000000
2022/5/19,3245.4,3192.68,3245.4,3188.45,33610000000
2022/5/20,3297.33,3256.04,3297.33,3256.04,37180000000
2022/5/23,3297.7,3301.45,3301.53,3277.76,35280000000
2022/5/24,3218.12,3300.04,3304.36,3218.12,41590000000
2022/5/25,3256.4,3217.29,3256.57,3217.07,34190000000
2022/5/26,3272.82,3260.61,3283.48,3227.04,36990000000
2022/5/27,3280.26,3285.32,3302.08,3261.72,35900000000
2022/5/30,3299.85,3292.54,3301.78,3272.65,34880000000
2022/5/31,3338.94,3300.76,3341.21,3292.49,37320000000
2022/6/1,3334.46,3331.87,3343.32,3311.25,36510000000
2022/6/2,3348.3,3322.03,3350.2,3315.15,36110000000
2022/6/6,3390.95,3349.85,3391.7,3333.85,42140000000
2022/6/7,3396.54,3390,3408.51,3376.57,40160000000
2022/6/8,3419.7,3399.98,3422.71,3369.6,43380000000
2022/6/9,3393.63,3415.16,3426.91,3377.34,42230000000
2022/6/10,3441.79,3367.67,3443.72,3364.15,43940000000
2022/6/13,3411.06,3411.91,3429.38,3383.5,43820000000
2022/6/14,3446.12,3378.2,3446.36,3348.35,45000000000
2022/6/15,3463.62,3446.33,3519.21,3446.04,55000000000
2022/6/16,3442.85,3465.12,3478.59,3434.6,43270000000
2022/6/17,3475.83,3422.03,3482.69,3419.34,39480000000
2022/6/20,3474.54,3474.8,3493.94,3450.91,41280000000
2022/6/21,3465.49,3472.93,3489.3,3437.28,39410000000
2022/6/22,3424.06,3468,3470.02,3423.39,37520000000
